Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
25/02/2023,UTAH,SA,118,102,NBA_2023
15/02/2023,MEM,UTAH,117,111,NBA_2023
11/02/2023,NY,UTAH,126,120,NBA_2023
10/02/2023,TOR,UTAH,116,122,NBA_2023
08/02/2023,UTAH,MIN,118,143,NBA_2023
06/02/2023,UTAH,DAL,111,124,NBA_2023
01/02/2023,UTAH,TOR,131,128,NBA_2023
28/01/2023,UTAH,DAL,108,100,NBA_2023
25/01/2023,POR,UTAH,134,124,NBA_2023
20/01/2023,UTAH,BKN,106,117,NBA_2023
16/01/2023,MIN,UTAH,125,126,NBA_2023
14/01/2023,UTAH,PHI,117,118,NBA_2023
13/01/2023,UTAH,ORL,112,108,NBA_2023
10/01/2023,UTAH,CLE,116,114,NBA_2023
08/01/2023,MEM,UTAH,123,118,NBA_2023
05/01/2023,HOU,UTAH,114,131,NBA_2023
31/12/2022,UTAH,MIA,123,126,NBA_2023
26/12/2022,SA,UTAH,126,122,NBA_2023
22/12/2022,UTAH,WSH,120,112,NBA_2023
19/12/2022,CLE,UTAH,122,99,NBA_2023
17/12/2022,MIL,UTAH,123,97,NBA_2023
09/12/2022,UTAH,MIN,108,118,NBA_2023
03/12/2022,UTAH,POR,111,116,NBA_2023
26/11/2022,PHX,UTAH,113,112,NBA_2023
19/11/2022,POR,UTAH,113,118,NBA_2023
18/11/2022,UTAH,PHX,134,133,NBA_2023
15/11/2022,UTAH,NY,111,118,NBA_2023
13/11/2022,PHI,UTAH,105,98,NBA_2023
12/11/2022,WSH,UTAH,121,112,NBA_2023
07/11/2022,UTAH,LAL,139,116,NBA_2023
04/11/2022,LAL,UTAH,116,130,NBA_2023
02/11/2022,DAL,UTAH,103,100,NBA_2023
31/10/2022,UTAH,MEM,121,105,NBA_2023
29/10/2022,UTAH,MEM,124,123,NBA_2023
26/10/2022,UTAH,HOU,109,101,NBA_2023
24/10/2022,HOU,UTAH,114,108,NBA_2023
21/10/2022,MIN,UTAH,126,132,NBA_2023
28/04/2022,UTAH,DAL,96,98,NBA_2022
25/04/2022,DAL,UTAH,102,77,NBA_2022
23/04/2022,UTAH,DAL,100,99,NBA_2022
21/04/2022,UTAH,DAL,118,126,NBA_2022
18/04/2022,DAL,UTAH,110,104,NBA_2022
16/04/2022,DAL,UTAH,93,99,NBA_2022
10/04/2022,POR,UTAH,80,111,NBA_2022
08/04/2022,UTAH,PHX,105,111,NBA_2022
05/04/2022,UTAH,MEM,121,115,NBA_2022
31/03/2022,UTAH,LAL,122,109,NBA_2022
27/03/2022,DAL,UTAH,114,100,NBA_2022
23/03/2022,BOS,UTAH,125,97,NBA_2022
21/03/2022,BKN,UTAH,114,106,NBA_2022
20/03/2022,NY,UTAH,93,108,NBA_2022
14/03/2022,UTAH,MIL,111,117,NBA_2022
11/03/2022,SA,UTAH,104,102,NBA_2022
09/03/2022,UTAH,POR,123,85,NBA_2022
07/03/2022,DAL,UTAH,111,103,NBA_2022
02/03/2022,HOU,UTAH,127,132,NBA_2022
27/02/2022,PHX,UTAH,114,118,NBA_2022
25/02/2022,UTAH,DAL,114,109,NBA_2022
16/02/2022,LAL,UTAH,106,101,NBA_2022
14/02/2022,UTAH,HOU,135,101,NBA_2022
11/02/2022,UTAH,ORL,114,99,NBA_2022
07/02/2022,UTAH,NY,113,104,NBA_2022
04/02/2022,UTAH,BKN,125,102,NBA_2022
30/01/2022,MIN,UTAH,126,106,NBA_2022
28/01/2022,MEM,UTAH,119,109,NBA_2022
26/01/2022,UTAH,PHX,97,105,NBA_2022
24/01/2022,PHX,UTAH,115,109,NBA_2022
19/01/2022,UTAH,HOU,111,116,NBA_2022
17/01/2022,LAL,UTAH,101,95,NBA_2022
12/01/2022,UTAH,CLE,91,111,NBA_2022
07/01/2022,TOR,UTAH,122,108,NBA_2022
31/12/2021,UTAH,MIN,120,108,NBA_2022
29/12/2021,POR,UTAH,105,120,NBA_2022
27/12/2021,SA,UTAH,104,110,NBA_2022
25/12/2021,UTAH,DAL,120,116,NBA_2022
23/12/2021,UTAH,MIN,128,116,NBA_2022
18/12/2021,UTAH,WSH,103,109,NBA_2022
17/12/2021,UTAH,SA,126,128,NBA_2022
11/12/2021,WSH,UTAH,98,123,NBA_2022
09/12/2021,PHI,UTAH,96,118,NBA_2022
08/12/2021,MIN,UTAH,104,136,NBA_2022
05/12/2021,CLE,UTAH,108,109,NBA_2022
03/12/2021,UTAH,BOS,137,130,NBA_2022
29/11/2021,UTAH,POR,129,107,NBA_2022
22/11/2021,UTAH,MEM,118,119,NBA_2022
18/11/2021,UTAH,TOR,119,103,NBA_2022
16/11/2021,UTAH,PHI,120,85,NBA_2022
13/11/2021,UTAH,MIA,105,111,NBA_2022
07/11/2021,ORL,UTAH,107,100,NBA_2022
06/11/2021,MIA,UTAH,118,115,NBA_2022
31/10/2021,MIL,UTAH,95,107,NBA_2022
28/10/2021,HOU,UTAH,91,122,NBA_2022
02/06/2021,UTAH,MEM,126,110,NBA_2021
31/05/2021,MEM,UTAH,113,120,NBA_2021
29/05/2021,MEM,UTAH,111,121,NBA_2021
26/05/2021,UTAH,MEM,141,129,NBA_2021
23/05/2021,UTAH,MEM,109,112,NBA_2021
12/05/2021,UTAH,POR,98,105,NBA_2021
08/05/2021,UTAH,HOU,124,116,NBA_2021
05/05/2021,UTAH,SA,126,94,NBA_2021
03/05/2021,UTAH,SA,110,99,NBA_2021
01/05/2021,UTAH,TOR,106,102,NBA_2021
30/04/2021,PHX,UTAH,121,100,NBA_2021
26/04/2021,MIN,UTAH,105,104,NBA_2021
24/04/2021,UTAH,MIN,96,101,NBA_2021
21/04/2021,HOU,UTAH,89,112,NBA_2021
19/04/2021,LAL,UTAH,97,111,NBA_2021
17/04/2021,LAL,UTAH,127,115,NBA_2021
12/04/2021,UTAH,WSH,121,125,NBA_2021
08/04/2021,UTAH,POR,122,103,NBA_2021
07/04/2021,PHX,UTAH,117,113,NBA_2021
05/04/2021,DAL,UTAH,111,103,NBA_2021
03/04/2021,UTAH,ORL,137,91,NBA_2021
31/03/2021,MEM,UTAH,107,111,NBA_2021
29/03/2021,UTAH,CLE,114,75,NBA_2021
27/03/2021,UTAH,MEM,126,110,NBA_2021
26/03/2021,UTAH,MEM,117,114,NBA_2021
24/03/2021,UTAH,BKN,118,88,NBA_2021
19/03/2021,TOR,UTAH,112,115,NBA_2021
18/03/2021,WSH,UTAH,131,122,NBA_2021
16/03/2021,BOS,UTAH,109,117,NBA_2021
12/03/2021,UTAH,HOU,114,99,NBA_2021
03/03/2021,PHI,UTAH,131,123,NBA_2021
27/02/2021,ORL,UTAH,109,124,NBA_2021
26/02/2021,MIA,UTAH,124,116,NBA_2021
24/02/2021,UTAH,LAL,114,89,NBA_2021
15/02/2021,UTAH,PHI,134,123,NBA_2021
13/02/2021,UTAH,MIA,112,94,NBA_2021
12/02/2021,UTAH,MIL,129,115,NBA_2021
09/02/2021,UTAH,BOS,122,108,NBA_2021
29/01/2021,UTAH,DAL,120,101,NBA_2021
27/01/2021,UTAH,DAL,116,104,NBA_2021
